,from,to,from_xy,to_xy,walking,driving,lat,long
443,18,11,"(11.264966000000001, 43.762705)","(11.2554649, 43.7730912)",1779.1,831.3,43.762705,11.264966000000001
444,18,12,"(11.264966000000001, 43.762705)","(11.24938, 43.77463)",1793.1,888.6,43.762705,11.264966000000001
445,18,13,"(11.264966000000001, 43.762705)","(11.26282, 43.76298)",266.9,170.4,43.762705,11.264966000000001
446,18,14,"(11.264966000000001, 43.762705)","(11.25433, 43.77003)",1228.8,724.6,43.762705,11.264966000000001
447,18,15,"(11.264966000000001, 43.762705)","(11.255230000000001, 43.77313)",1779.1,831.3,43.762705,11.264966000000001
448,18,16,"(11.264966000000001, 43.762705)","(11.25564, 43.76968)",1130.9,706,43.762705,11.264966000000001
449,18,17,"(11.264966000000001, 43.762705)","(11.248335, 43.762288)",1650.2,475.6,43.762705,11.264966000000001
450,18,19,"(11.264966000000001, 43.762705)","(11.255056, 43.773106)",1437.9,831.3,43.762705,11.264966000000001
451,18,20,"(11.264966000000001, 43.762705)","(11.256192, 43.769292)",1113.3,660.2,43.762705,11.264966000000001
452,18,21,"(11.264966000000001, 43.762705)","(11.251878999999999, 43.777276)",1882,742.3,43.762705,11.264966000000001
453,18,22,"(11.264966000000001, 43.762705)","(11.258814, 43.776761)",1842.2,667.8,43.762705,11.264966000000001
454,18,23,"(11.264966000000001, 43.762705)","(11.264658, 43.77151)",1331.3,558.6,43.762705,11.264966000000001
455,18,-1,"(11.264966000000001, 43.762705)","(11.247123, 43.772557)",1684.7,1145.1,43.762705,11.264966000000001
456,19,0,"(11.255056, 43.773106)","(11.255693199999998, 43.772858299999996)",118.5,0,43.773106,11.255056
457,19,1,"(11.255056, 43.773106)","(11.2564189, 43.771534100000004)",180.9,291.1,43.773106,11.255056
458,19,2,"(11.255056, 43.773106)","(11.250781, 43.7700828)",474.7,589.8,43.773106,11.255056
459,19,3,"(11.255056, 43.773106)","(11.2534118, 43.7769185)",644.3,345.4,43.773106,11.255056
460,19,4,"(11.255056, 43.773106)","(11.255579699999998, 43.763469)",933.4,814.7,43.773106,11.255056
461,19,5,"(11.255056, 43.773106)","(11.2553108, 43.7677856)",456.1,439.8,43.773106,11.255056
462,19,6,"(11.255056, 43.773106)","(11.255431699999999, 43.7708275)",178.4,98.2,43.773106,11.255056
463,19,7,"(11.255056, 43.773106)","(11.255705099999998, 43.772806)",118.5,0,43.773106,11.255056
